Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/ai/rag/documents/{id}/image-enrichment,5,0,33,33.06684005074203,31.904400093480945,34.7642000997439,326.8,0.6188541970396952,0.0,33,33,33,35,35,35,35,35,35,35,35
POST,/api/ai/rag/markdown-upload/stream,2,0,11.024400009773672,24.151100020390004,11.024400009773672,37.277800031006336,0.0,0.24754167881587807,0.0,37,37,37,37,37,37,37,37,37,37,37
POST,/api/auth/login [setup],1,0,32.986899954266846,32.986899954266846,32.986899954266846,32.986899954266846,642.0,0.12377083940793904,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/api/auth/login-key [setup],1,0,113.79560001660138,113.79560001660138,113.79560001660138,113.79560001660138,478.0,0.12377083940793904,0.0,110,110,110,110,110,110,110,110,110,110,110
BUSINESS,RAG 上传 SSE 完整时间,2,0,290,1806.9664499759674,287.0410999059677,3326.891800045967,0.0,0.24754167881587807,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
BUSINESS,RAG 上传 SSE 首事件时间,2,0,15,29.345049917697906,14.772799849510193,43.91729998588562,0.0,0.24754167881587807,0.0,44,44,44,44,44,44,44,44,44,44,44
BUSINESS,图片增强业务校验 [c1],1,0,3160.747099995613,3160.747099995613,3160.747099995613,3160.747099995613,0.0,0.12377083940793904,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
BUSINESS,图片增强完整时间,1,0,3160.747099995613,3160.747099995613,3160.747099995613,3160.747099995613,0.0,0.12377083940793904,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
BUSINESS,图片正文入库时间 [c1],2,0,290,1806.9664499759674,287.0410999059677,3326.891800045967,0.0,0.24754167881587807,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
BUSINESS,图片队列等待时间,1,0,1066.9931999444962,1066.9931999444962,1066.9931999444962,1066.9931999444962,0.0,0.12377083940793904,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
,Aggregated,18,0,37,835.3034555522414,11.024400009773672,3326.891800045967,153.0,2.227875109342903,0.0,44,290,1100,3200,3300,3300,3300,3300,3300,3300,3300
