Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/ai/rag/documents/{id}/image-enrichment,198,0,30,32.00708232664814,26.158299995586276,56.07259995304048,323.3636363636364,0.838081566996853,0.0,30,32,33,34,39,45,50,54,56,56,56
POST,/api/ai/rag/upload/stream,12,0,83,89.94159998837858,73.7193999812007,127.75129987858236,0.0,0.05079282224223351,0.0,87,89,100,100,100,130,130,130,130,130,130
POST,/api/auth/login [setup],1,0,37.27130009792745,37.27130009792745,37.27130009792745,37.27130009792745,689.0,0.004232735186852793,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/api/auth/login-key [setup],1,0,124.15080005303025,124.15080005303025,124.15080005303025,124.15080005303025,478.0,0.004232735186852793,0.0,120,120,120,120,120,120,120,120,120,120,120
BUSINESS,RAG 上传 SSE 完整时间,12,0,490,768.2081333895525,475.22560000419617,3573.1909000873566,0.0,0.05079282224223351,0.0,530,540,560,560,560,3600,3600,3600,3600,3600,3600
BUSINESS,RAG 上传 SSE 首事件时间,12,0,84,91.2908500234286,74.63749980926514,129.92040026187897,0.0,0.05079282224223351,0.0,88,90,100,100,100,130,130,130,130,130,130
BUSINESS,发起上传至图片解析完成总耗时,10,0,14000,15758.634590089321,11018.007799983025,28654.97149991989,0.0,0.04232735186852793,0.0,15000,15000,17000,17000,29000,29000,29000,29000,29000,29000,29000
BUSINESS,图片上传请求完成耗时,10,0,490,516.0553100466728,475.22560000419617,560.0546998977661,0.0,0.04232735186852793,0.0,530,540,550,560,560,560,560,560,560,560,560
BUSINESS,图片解析业务校验,10,0,14000,15758.634590089321,11018.007799983025,28654.97149991989,0.0,0.04232735186852793,0.0,15000,15000,17000,17000,29000,29000,29000,29000,29000,29000,29000
,Aggregated,266,0,32,1271.523895879311,26.158299995586276,28654.97149991989,245.08646616541353,1.125907559702843,0.0,32,37,74,88,550,14000,17000,17000,29000,29000,29000
